timestamp,cripto,moeda_base,preco
2025-05-30 20:47:38.687208,ethereum,eur,2223.08
2025-05-30 20:47:38.687208,solana,brl,895.81
2025-05-30 20:47:38.687208,solana,usd,156.47
2025-05-30 20:47:38.687208,solana,eur,137.89
2025-05-30 20:48:39.008022,bitcoin,brl,595210.0
2025-05-30 20:48:39.008022,bitcoin,usd,103967.0
2025-05-30 20:48:39.008022,bitcoin,eur,91620.0
2025-05-30 20:48:39.008022,ethereum,brl,14442.16
2025-05-30 20:48:39.008022,ethereum,usd,2522.65
2025-05-30 20:48:39.008022,ethereum,eur,2223.06
2025-05-30 20:48:39.008022,solana,brl,895.83
2025-05-30 20:48:39.008022,solana,usd,156.48
2025-05-30 20:48:39.008022,solana,eur,137.89
2025-05-30 20:49:39.130936,bitcoin,brl,595210.0
2025-05-30 20:49:39.130936,bitcoin,usd,103967.0
2025-05-30 20:49:39.130936,bitcoin,eur,91620.0
2025-05-30 20:49:39.130936,ethereum,brl,14442.16
2025-05-30 20:49:39.130936,ethereum,usd,2522.65
2025-05-30 20:49:39.130936,ethereum,eur,2223.06
2025-05-30 20:49:39.130936,solana,brl,895.83
2025-05-30 20:49:39.130936,solana,usd,156.48
2025-05-30 20:49:39.130936,solana,eur,137.89
2025-05-30 20:50:39.448017,bitcoin,brl,595324.0
2025-05-30 20:50:39.448017,bitcoin,usd,103987.0
2025-05-30 20:50:39.448017,bitcoin,eur,91637.0
2025-05-30 20:50:39.448017,ethereum,brl,14445.13
2025-05-30 20:50:39.448017,ethereum,usd,2523.17
2025-05-30 20:50:39.448017,ethereum,eur,2223.52
2025-05-30 20:50:39.448017,solana,brl,896.27
2025-05-30 20:50:39.448017,solana,usd,156.55
2025-05-30 20:50:39.448017,solana,eur,137.96
2025-05-30 20:51:39.565915,bitcoin,brl,595324.0
2025-05-30 20:51:39.565915,bitcoin,usd,103987.0
2025-05-30 20:51:39.565915,bitcoin,eur,91637.0
2025-05-30 20:51:39.565915,ethereum,brl,14445.13
2025-05-30 20:51:39.565915,ethereum,usd,2523.17
2025-05-30 20:51:39.565915,ethereum,eur,2223.52
2025-05-30 20:51:39.565915,solana,brl,896.27
2025-05-30 20:51:39.565915,solana,usd,156.55
2025-05-30 20:51:39.565915,solana,eur,137.96
2025-05-30 20:52:39.908061,bitcoin,brl,595409.0
2025-05-30 20:52:39.908061,bitcoin,usd,104002.0
2025-05-30 20:52:39.908061,bitcoin,eur,91650.0
2025-05-30 20:52:39.908061,ethereum,brl,14446.7
2025-05-30 20:52:39.908061,ethereum,usd,2523.44
2025-05-30 20:52:39.908061,ethereum,eur,2223.76
2025-05-30 20:52:39.908061,solana,brl,896.13
2025-05-30 20:52:39.908061,solana,usd,156.53
2025-05-30 20:52:39.908061,solana,eur,137.94
